doc_id,departments,regions,doc_types,processes,hr_entities,fin_entities,eng_entities,legal_entities,compliance
ENG-001_Production_Deployment_SOP,Engineering,,"Procedure, SOP","Deployment, deployment",,,CI/CD,,
ENG-002_Incident_Response_Procedure,Engineering,,Procedure,Incident Response,,,"API, SLA",,
ENG-003_API_Security_Guidelines,Engineering,,Guidelines,audit,,,API,,
ENG-006_Production_Deployment_SOP_v2_0,Engineering,,SOP,"Deployment, deployment",,,"API, CI/CD, SLA",,
ENG-007_Code_Review_Guidelines,Engineering,,Guidelines,,,,"API, SLA",,
ENG-008_Disaster_Recovery_Plan,"Engineering, Legal, Marketing",,Plan,incident response,,,,,
FIN-001_Expense_Reimbursement_Policy,Finance,,Policy,"Reimbursement, payroll",,Expense,,,
FIN-002_Payroll_Processing_SOP,"Finance, HR",India,SOP,"Payroll, payroll","ESIC, PF",Tax,,,
FIN-003_Quarterly_Budget_Report,"Finance, HR",,Report,,,"Budget, Revenue",,,
FIN-005_Expense_Reimbursement_Policy_v2_0,Finance,,Policy,Reimbursement,,Expense,,,
FIN-006_US_Payroll_Processing_SOP,"Finance, HR",US,SOP,"Payroll, payroll",,Tax,,,
FIN-007_Travel_and_Entertainment_Policy,"Finance, Legal",,"Guidelines, Policy",audit,,Expense,,,
HR-001_India_Employee_Onboarding_SOP,HR,India,"Checklist, Plan, Procedure, SOP","Onboarding, onboarding, payroll","ESIC, PF",Tax,,,
HR-002_UK_Employee_Onboarding_SOP,"HR, Legal",UK,SOP,"Onboarding, onboarding","HMRC, PAYE",,,,GDPR
HR-003_Remote_Work_Policy,HR,,"Policy, Report",,,,,,
HR-004_India_Employee_Onboarding_SOP_v2_0,HR,India,"Checklist, Plan, SOP","Onboarding, onboarding",,,API,,
HR-005_UK_Employee_Onboarding_SOP_v2_0,"HR, Legal",UK,SOP,"Onboarding, onboarding",,,,,GDPR
HR-006_US_Remote_Work_Policy,"Finance, HR",US,Policy,payroll,,Tax,,,
HR-007_Performance_Review_Policy,HR,,Policy,,,,,,
LEG-001_Vendor_NDA,Legal,,Agreement,,,,,"Confidential, NDA",
LEG-002_Data_Privacy_Policy,Legal,"India, UK",Policy,"Payroll, audit",,Tax,,,GDPR
LEG-003_Service_Agreement_Template,Legal,,"Agreement, Template",,,,,"Intellectual Property, Liability",
LEG-005_US_Vendor_NDA,Legal,US,Agreement,,,,,"Confidential, NDA",
LEG-006_Employee_IP_Assignment_Agreement,Legal,,Agreement,,,,,Intellectual Property,
OPS-001_Client_Onboarding_Process,Operations,,,"Client Onboarding, Onboarding, onboarding",,,,,
OPS-002_Escalation_Matrix,"Engineering, Finance, HR, Legal, Operations",,,,,,SLA,,
OPS-003_Internal_Audit_Checklist,"Finance, HR, Operations",,"Checklist, Policy","Audit, Payroll","ESIC, PF","Budget, Expense",SLA,,
OPS-006_Client_Onboarding_Process_v2_0,Operations,,Checklist,"Client Onboarding, Onboarding, audit, onboarding",,,SLA,,
OPS-007_Vendor_Management_Policy,"Finance, Operations",,"Agreement, Policy","Offboarding, Onboarding, Vendor Management, offboarding, onboarding, payroll, risk management",,Invoice,SLA,NDA,"ISO 27001, SOC 2"
OPS-008_Business_Continuity_Plan,"Engineering, Finance, HR, Legal, Marketing, Operations",,Plan,"Payroll, payroll",,,,,
